Room_id,x,y,Category,Name
1,883,760,Temporary Exhibition, Portrait of a Horse
2,797,704,Renaissance (1500-1600),An Allegory with Venus and Cupid
4,728,704,Renaissance (1500-1600),The Ambassadors
5,728,612,Renaissance (1500-1600),Christ as 'The Light of the World'
6,653,704,Renaissance (1500-1600),The Madonna of the Cat ('La Madonna del Gatto')
7,596,704,Renaissance (1500-1600),The Madonna of the Basket
8,528,691,Renaissance (1500-1600),Judith (or Salome?)
9,528,528,Renaissance (1500-1600),The Good Samaritan
10,643,528,Renaissance (1500-1600),Christ carrying the Cross
11,728,528,Renaissance (1500-1600),Christina of Denmark, Duchess of Milan
12,810,528,Renaissance (1500-1600),A Roman Triumph
14,728,450,Renaissance (1500-1600),The Virgin and Child
150,523,346,Baroque (1600-1700),15a Portrait of a Man
15,559,368,Baroque (1600-1700),Self Portrait at the Age of 34
16,489,396,Baroque (1600-1700),The Market Place and the Grote Kerk at Haarlem A Dutch Painting
17,489,346,Baroque (1600-1700),A Woman playing a Lute to Two Men
170,501,309,Baroque (1600-1700),17a A View of Delft
18,559,260,Baroque (1600-1700),Drunken Silenus supported by Satyrs
19,441,260,Baroque (1600-1700),A Scene on the Ice near a Town
20,441,210,Baroque (1600-1700),Tavern Scene
21,441,160,Baroque (1600-1700),Charity
22,677,160,Baroque (1600-1700),A Bearded Man in a Cap
23,677,213,Baroque (1600-1700),A River with Fishermen drawing a Net
24,677,260,Baroque (1600-1700),Lot and his Daughters
25,729,260,Baroque (1600-1700),Still Life with Strawberries, Gooseberries and Asparagus
26,626,309,Baroque (1600-1700),The Amazement of the Gods
27,678,309,Baroque (1600-1700),Pan pursuing Syrinx
28,729,309,Baroque (1600-1700),Still Life with Partridges
29,729,368,Baroque (1600-1700),A Rocky Italian Landscape with Herdsmen and Muleteers
30,940,368,Baroque (1600-1700),Saint Francis in Meditation
31,940,289,Baroque (1600-1700),Venus with Mercury and Cupid ('The School of Love')
32,1160,368,Baroque (1600-1700),A Personification of Fame
33,1333,368,Rococo to Romanticism (1700-1800),A Regatta on the Grand Canal
34,1333,530,Rococo to Romanticism (1700-1800),William Fielding, 1st Earl of Denbigh
35,1245,530,Rococo to Romanticism (1700-1800),Landscape with a Watermill
36,1160,530,Rococo to Romanticism (1700-1800),Seaport with the Embarkation of the Queen of Sheba
37,1160,444,Rococo to Romanticism (1700-1800),Portrait of Richard Milles
38,1077,530,Towards Modernism (After 1800),After the Audience
39,1009,530,Towards Modernism (After 1800),Ruined Column in the Baths of Caracalla, Rome
40,1160,612,Towards Modernism (After 1800),Cenotaph to the Memory of Sir Joshua Reynolds
41,1333,704,Towards Modernism (After 1800),Dardagny, Morning
42,1291,751,Towards Modernism (After 1800),Portrait of a Man
43,1234,707,Towards Modernism (After 1800),Ballet Dancers
44,1160,707,Towards Modernism (After 1800),An Old Woman with a Rosary
45,1094,707,Towards Modernism (After 1800),Men of the Docks
46,1011,741,Towards Modernism (After 1800),Grainstack (Sunset: winter)
510,165,463,Medieval and Early Renaissance (1260-1550),51a The Burlington House Cartoon
51,177,525,Medieval and Early Renaissance (1260-1550),Portrait of a Man
52,187,590,Medieval and Early Renaissance (1260-1550),Christ Crowned with Thorns
53,187,645,Medieval and Early Renaissance (1260-1550),Adoration of the Kings
54,236,707,Medieval and Early Renaissance (1260-1550),Christ Mocked (The Crowning with Thorns)
55,225,768,Medieval and Early Renaissance (1260-1550),Christ taking Leave of his Mother
56,202,823,Medieval and Early Renaissance (1260-1550),Landscape with a Footbridge
57,121,768,Medieval and Early Renaissance (1260-1550),The Virgin and Child with Ten Saints
58,121,707,Medieval and Early Renaissance (1260-1550),The Annunciation
59,121,645,Medieval and Early Renaissance (1260-1550),The Dead Christ supported by Two Angels
60,121,525,Medieval and Early Renaissance (1260-1550),The Virgin and Child Enthroned among Angels and Saints
61,54,525,Medieval and Early Renaissance (1260-1550),Saint John the Baptist
62,54,593,Medieval and Early Renaissance (1260-1550),Portrait of a Lady
63,54,645,Medieval and Early Renaissance (1260-1550),Christ Blessing
64,54,725,Medieval and Early Renaissance (1260-1550),The Virgin and Child
65,79,768,Medieval and Early Renaissance (1260-1550),Pentecost
66,79,811,Medieval and Early Renaissance (1260-1550),Saint Michael
